host gpuhost015.jc.rl.ac.uk | CUDA ok | Sun  9 Aug 14:46:44 BST 2026
resume auto: fresh start
target=delta | pooled std 0.7407 | mean +0.0619 | E[target^2] train 0.5525 val 0.5604
  per shard: [+15min sd 0.5800 E[t^2] 0.3395, +30min sd 0.7073 E[t^2] 0.5038, +45min sd 0.7921 E[t^2] 0.6314, +60min sd 0.8546 E[t^2] 0.7352]
diagnostics: 64 fixed val crops (rows 0..53123)
device=cuda | R_phi 65.7M params | cond=full (20ch) -> 4ch | latent_scale=0.784
train rows 613892 | val rows 53124 | 9592 steps/epoch (batch 64)
data-path check: batch E[target^2] 0.3818 vs pack meta 0.5604 (ratio 0.681) | untrained MSE 0.3818 -> EV +0.0000 (must be ~0.000 on a fresh start)
  ep2 step 2800/9592 | mse 0.3014 (win 0.2992) | EV 0.455 (win 0.458) | lr 9.45e-05 | gn 0.33 | 325 img/s
  ep2 step 3000/9592 | mse 0.3012 (win 0.2983) | EV 0.455 (win 0.460) | lr 9.43e-05 | gn 0.33 | 325 img/s
  ep2 step 3200/9592 | mse 0.3010 (win 0.2984) | EV 0.455 (win 0.460) | lr 9.41e-05 | gn 0.33 | 325 img/s
  ep2 step 3400/9592 | mse 0.3007 (win 0.2956) | EV 0.456 (win 0.465) | lr 9.39e-05 | gn 0.33 | 325 img/s
  ep2 step 3600/9592 | mse 0.3006 (win 0.2987) | EV 0.456 (win 0.459) | lr 9.37e-05 | gn 0.33 | 326 img/s
  ep2 step 3800/9592 | mse 0.3004 (win 0.2977) | EV 0.456 (win 0.461) | lr 9.35e-05 | gn 0.33 | 326 img/s
  ep2 step 4000/9592 | mse 0.3003 (win 0.2978) | EV 0.456 (win 0.461) | lr 9.33e-05 | gn 0.33 | 326 img/s
  ep2 step 4200/9592 | mse 0.3001 (win 0.2968) | EV 0.457 (win 0.463) | lr 9.31e-05 | gn 0.33 | 326 img/s
  ep2 step 4400/9592 | mse 0.3000 (win 0.2973) | EV 0.457 (win 0.462) | lr 9.29e-05 | gn 0.33 | 326 img/s
  ep2 step 4600/9592 | mse 0.2999 (win 0.2986) | EV 0.457 (win 0.460) | lr 9.27e-05 | gn 0.33 | 326 img/s
  ep2 step 4800/9592 | mse 0.2998 (win 0.2979) | EV 0.457 (win 0.461) | lr 9.25e-05 | gn 0.33 | 326 img/s
  ep2 step 5000/9592 | mse 0.2998 (win 0.2974) | EV 0.457 (win 0.462) | lr 9.23e-05 | gn 0.33 | 326 img/s
  ep2 step 5200/9592 | mse 0.2996 (win 0.2971) | EV 0.458 (win 0.462) | lr 9.20e-05 | gn 0.33 | 326 img/s
  ep2 step 5400/9592 | mse 0.2995 (win 0.2948) | EV 0.458 (win 0.466) | lr 9.18e-05 | gn 0.33 | 326 img/s
  ep2 step 5600/9592 | mse 0.2994 (win 0.2968) | EV 0.458 (win 0.463) | lr 9.16e-05 | gn 0.33 | 326 img/s
  ep2 step 5800/9592 | mse 0.2993 (win 0.2985) | EV 0.458 (win 0.460) | lr 9.14e-05 | gn 0.33 | 326 img/s
  ep2 step 6000/9592 | mse 0.2992 (win 0.2962) | EV 0.458 (win 0.464) | lr 9.11e-05 | gn 0.33 | 326 img/s
  ep2 step 6200/9592 | mse 0.2991 (win 0.2962) | EV 0.459 (win 0.464) | lr 9.09e-05 | gn 0.33 | 326 img/s
  ep2 step 6400/9592 | mse 0.2991 (win 0.2989) | EV 0.459 (win 0.459) | lr 9.06e-05 | gn 0.33 | 326 img/s
  ep2 step 6600/9592 | mse 0.2990 (win 0.2952) | EV 0.459 (win 0.466) | lr 9.04e-05 | gn 0.33 | 326 img/s
  ep2 step 6800/9592 | mse 0.2989 (win 0.2964) | EV 0.459 (win 0.463) | lr 9.02e-05 | gn 0.33 | 326 img/s
  ep2 step 7000/9592 | mse 0.2988 (win 0.2957) | EV 0.459 (win 0.465) | lr 8.99e-05 | gn 0.32 | 326 img/s
  ep2 step 7200/9592 | mse 0.2987 (win 0.2922) | EV 0.459 (win 0.471) | lr 8.97e-05 | gn 0.32 | 326 img/s
  ep2 step 7400/9592 | mse 0.2985 (win 0.2939) | EV 0.460 (win 0.468) | lr 8.94e-05 | gn 0.32 | 326 img/s
  ep2 step 7600/9592 | mse 0.2984 (win 0.2948) | EV 0.460 (win 0.466) | lr 8.91e-05 | gn 0.32 | 326 img/s
  ep2 step 7800/9592 | mse 0.2983 (win 0.2930) | EV 0.460 (win 0.470) | lr 8.89e-05 | gn 0.32 | 326 img/s
  ep2 step 8000/9592 | mse 0.2982 (win 0.2941) | EV 0.460 (win 0.468) | lr 8.86e-05 | gn 0.32 | 326 img/s
  ep2 step 8200/9592 | mse 0.2981 (win 0.2954) | EV 0.460 (win 0.465) | lr 8.84e-05 | gn 0.32 | 326 img/s
  ep2 step 8400/9592 | mse 0.2980 (win 0.2946) | EV 0.461 (win 0.467) | lr 8.81e-05 | gn 0.32 | 326 img/s
  ep2 step 8600/9592 | mse 0.2979 (win 0.2934) | EV 0.461 (win 0.469) | lr 8.78e-05 | gn 0.32 | 326 img/s
  ep2 step 8800/9592 | mse 0.2978 (win 0.2929) | EV 0.461 (win 0.470) | lr 8.75e-05 | gn 0.32 | 326 img/s
  ep2 step 9000/9592 | mse 0.2977 (win 0.2912) | EV 0.461 (win 0.473) | lr 8.73e-05 | gn 0.32 | 326 img/s
  ep2 step 9200/9592 | mse 0.2976 (win 0.2935) | EV 0.461 (win 0.469) | lr 8.70e-05 | gn 0.32 | 326 img/s
  ep2 step 9400/9592 | mse 0.2975 (win 0.2920) | EV 0.462 (win 0.471) | lr 8.67e-05 | gn 0.32 | 326 img/s
epoch   2/8 | train mse 0.29738 (EV 0.4618) | val mse 0.30206 (EV 0.4610) | 1886s | 326 img/s | GPU 14.1 GB
  val EV per lead: +15min 0.4253, +30min 0.4533, +45min 0.4669, +60min 0.4771
  decoded: MAE 0.176 (adv 0.238) | CSI@1 0.472 (adv 0.407) | CSI@8 0.024 (adv 0.059) | PSD 2-8km band power 0.08 (adv 1.12)
  new best (val MSE 0.30206, EV 0.4610) -> reg_best.pt
  ep3 step 200/9592 | mse 0.2898 (win 0.2898) | EV 0.475 (win 0.475) | lr 8.62e-05 | gn 0.28 | 324 img/s
  ep3 step 400/9592 | mse 0.2895 (win 0.2892) | EV 0.476 (win 0.476) | lr 8.59e-05 | gn 0.28 | 324 img/s
  ep3 step 600/9592 | mse 0.2903 (win 0.2918) | EV 0.475 (win 0.472) | lr 8.56e-05 | gn 0.29 | 325 img/s
  ep3 step 800/9592 | mse 0.2905 (win 0.2910) | EV 0.474 (win 0.473) | lr 8.53e-05 | gn 0.30 | 325 img/s
  ep3 step 1000/9592 | mse 0.2901 (win 0.2887) | EV 0.475 (win 0.478) | lr 8.50e-05 | gn 0.29 | 325 img/s
  ep3 step 1200/9592 | mse 0.2902 (win 0.2906) | EV 0.475 (win 0.474) | lr 8.47e-05 | gn 0.28 | 325 img/s
  ep3 step 1400/9592 | mse 0.2897 (win 0.2872) | EV 0.476 (win 0.480) | lr 8.44e-05 | gn 0.29 | 325 img/s
  ep3 step 1600/9592 | mse 0.2898 (win 0.2899) | EV 0.476 (win 0.475) | lr 8.41e-05 | gn 0.29 | 325 img/s
  ep3 step 1800/9592 | mse 0.2895 (win 0.2873) | EV 0.476 (win 0.480) | lr 8.38e-05 | gn 0.29 | 325 img/s
  ep3 step 2000/9592 | mse 0.2893 (win 0.2877) | EV 0.476 (win 0.479) | lr 8.35e-05 | gn 0.28 | 325 img/s
  ep3 step 2200/9592 | mse 0.2894 (win 0.2901) | EV 0.476 (win 0.475) | lr 8.32e-05 | gn 0.28 | 325 img/s
  ep3 step 2400/9592 | mse 0.2893 (win 0.2884) | EV 0.476 (win 0.478) | lr 8.29e-05 | gn 0.28 | 325 img/s
  ep3 step 2600/9592 | mse 0.2892 (win 0.2884) | EV 0.477 (win 0.478) | lr 8.25e-05 | gn 0.28 | 325 img/s
  ep3 step 2800/9592 | mse 0.2891 (win 0.2879) | EV 0.477 (win 0.479) | lr 8.22e-05 | gn 0.28 | 325 img/s
  ep3 step 3000/9592 | mse 0.2890 (win 0.2870) | EV 0.477 (win 0.481) | lr 8.19e-05 | gn 0.28 | 325 img/s
  ep3 step 3200/9592 | mse 0.2888 (win 0.2856) | EV 0.477 (win 0.483) | lr 8.16e-05 | gn 0.28 | 325 img/s
  ep3 step 3400/9592 | mse 0.2886 (win 0.2854) | EV 0.478 (win 0.483) | lr 8.13e-05 | gn 0.28 | 325 img/s
  ep3 step 3600/9592 | mse 0.2885 (win 0.2865) | EV 0.478 (win 0.481) | lr 8.09e-05 | gn 0.28 | 325 img/s
  ep3 step 3800/9592 | mse 0.2884 (win 0.2873) | EV 0.478 (win 0.480) | lr 8.06e-05 | gn 0.28 | 325 img/s
  ep3 step 4000/9592 | mse 0.2883 (win 0.2863) | EV 0.478 (win 0.482) | lr 8.03e-05 | gn 0.28 | 325 img/s
  ep3 step 4200/9592 | mse 0.2884 (win 0.2901) | EV 0.478 (win 0.475) | lr 8.00e-05 | gn 0.28 | 325 img/s
  ep3 step 4400/9592 | mse 0.2884 (win 0.2880) | EV 0.478 (win 0.479) | lr 7.96e-05 | gn 0.28 | 325 img/s
  ep3 step 4600/9592 | mse 0.2883 (win 0.2877) | EV 0.478 (win 0.479) | lr 7.93e-05 | gn 0.28 | 325 img/s
  ep3 step 4800/9592 | mse 0.2883 (win 0.2864) | EV 0.478 (win 0.482) | lr 7.89e-05 | gn 0.28 | 325 img/s
  ep3 step 5000/9592 | mse 0.2881 (win 0.2840) | EV 0.479 (win 0.486) | lr 7.86e-05 | gn 0.28 | 325 img/s
  ep3 step 5200/9592 | mse 0.2880 (win 0.2860) | EV 0.479 (win 0.482) | lr 7.83e-05 | gn 0.28 | 325 img/s
  ep3 step 5400/9592 | mse 0.2880 (win 0.2868) | EV 0.479 (win 0.481) | lr 7.79e-05 | gn 0.28 | 325 img/s
  ep3 step 5600/9592 | mse 0.2878 (win 0.2839) | EV 0.479 (win 0.486) | lr 7.76e-05 | gn 0.28 | 325 img/s
  ep3 step 5800/9592 | mse 0.2877 (win 0.2850) | EV 0.479 (win 0.484) | lr 7.72e-05 | gn 0.28 | 325 img/s
  ep3 step 6000/9592 | mse 0.2876 (win 0.2845) | EV 0.479 (win 0.485) | lr 7.69e-05 | gn 0.28 | 325 img/s
  ep3 step 6200/9592 | mse 0.2875 (win 0.2834) | EV 0.480 (win 0.487) | lr 7.65e-05 | gn 0.27 | 325 img/s
  ep3 step 6400/9592 | mse 0.2874 (win 0.2837) | EV 0.480 (win 0.487) | lr 7.62e-05 | gn 0.27 | 325 img/s
  ep3 step 6600/9592 | mse 0.2873 (win 0.2856) | EV 0.480 (win 0.483) | lr 7.58e-05 | gn 0.27 | 325 img/s
  ep3 step 6800/9592 | mse 0.2872 (win 0.2834) | EV 0.480 (win 0.487) | lr 7.55e-05 | gn 0.27 | 325 img/s
  ep3 step 7000/9592 | mse 0.2871 (win 0.2850) | EV 0.480 (win 0.484) | lr 7.51e-05 | gn 0.27 | 325 img/s
  ep3 step 7200/9592 | mse 0.2871 (win 0.2858) | EV 0.480 (win 0.483) | lr 7.48e-05 | gn 0.27 | 325 img/s
  ep3 step 7400/9592 | mse 0.2870 (win 0.2835) | EV 0.481 (win 0.487) | lr 7.44e-05 | gn 0.27 | 325 img/s
  ep3 step 7600/9592 | mse 0.2869 (win 0.2841) | EV 0.481 (win 0.486) | lr 7.40e-05 | gn 0.27 | 325 img/s
  ep3 step 7800/9592 | mse 0.2868 (win 0.2832) | EV 0.481 (win 0.487) | lr 7.37e-05 | gn 0.27 | 325 img/s
  ep3 step 8000/9592 | mse 0.2868 (win 0.2842) | EV 0.481 (win 0.486) | lr 7.33e-05 | gn 0.27 | 325 img/s
  ep3 step 8200/9592 | mse 0.2866 (win 0.2814) | EV 0.481 (win 0.491) | lr 7.29e-05 | gn 0.27 | 325 img/s
